ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME_FEIRA,REGISTRO,LOGRADOURO,NUMERO,BAIRRO,REFERENCIA
1,-46785380,-23599379,355030865000146,3550308005238,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,,7150-1,RUA NOVE,S/N,COHAB EDUCAND-RIO,PROX.AV. ENG. HEITOR E. GARC
2,-46399686,-23599842,355030825000217,3550308005272,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,,4132-7,AV. DOS BANC-RIOS,S/N,CID. TIRADENTES COHAB,
3,-46400322,-23599366,355030825000167,3550308005272,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,,1151-7,AV. DOS FERROVI-RIOS,S/N,SANTA ETELVINA,CONJ HAB CIDADE TIRADENTES
4,-46403632,-23547331,355030831000059,3550308005264,31,GUAIANASES,28,GUAIANAZES,Leste,Leste 2,,1237-8,RUA CARLOS COSSIA,S/N,JD. NOVA SAPOPEMBA,
5,-46609748,-23653513,355030868000180,3550308005089,69,SACOMA,13,IPIRANGA,Sul,Sul 1,,5169-1,RUA DO MUTIR+O,,SACOM+,
6,-46398940,-23519937,355030884000158,3550308005252,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,,1165-7,RUA JERONIMO BARBOSA DA SILVA,,JD. NAZAR+,
7,-46395798,-23507280,355030836000100,3550308005249,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,,7220-6,RUA JOSE ALVES IRMAO,,CDHU CAMARGO VELHO,
8,-46467074,-23542614,355030837000186,3550308005202,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,,1184-3,RUA TR-S-F,,ITAQUERA,CONFLUENCIA R BARRO BRANCO
9,-46572305,-23453056,355030839000084,3550308005136,38,JACANA,6,JACANA-TREMEMBE,Norte,Norte 2,,1190-8,AV. PRINCIPAL,,VL. NOVA GALV+O,JOAO CAVALCANTE E ANT JERCIO
10,-46720964,-23856225,355030855000241,3550308005302,56,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,,1092-8,P+. PEDRO ROCHA,,PARELHEIROS,ESTRADA DE PARELHEIROS
11,-46744505,-23499430,355030895000004,3550308005110,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,,7065-3,RUA JARAGU-,32,VL. MANGALOT,IGREJA DO MANGALOT
