ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME_FEIRA,REGISTRO,LOGRADOURO,NUMERO,BAIRRO,REFERENCIA
84,-46741853,-23600215,355030894000110,3550308005179,96,VILA SONIA,10,BUTANTA,Oeste,Oeste,MARIO MOURA ANDRADE,7071-8,AV  CLAUDIO FRANCHI,49,BUTANTA,AV PROF FRANCISCO MORATO
85,-46741447,-23474640,355030863000070,3550308005113,64,PIRITUBA,2,PIRITUBA,Norte,Norte 1,JARDIM REGINA,4087-8,RUA PDE MARCIGAGLIA,19,JD REGINA,AV AGENOR COUTO DE MAGAL
86,-46741198,-23482749,355030863000196,3550308005113,64,PIRITUBA,2,PIRITUBA,Norte,Norte 1,MUTINGA,6053-4,RUA MARIA LUCIA DUARTE,35,VL MUTINGA,TV AV MUTINGA
87,-46741066,-23672172,355030846000001,3550308005222,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,PIRAPORINHA,3087-2,RUA ESTEVAM FERNANDES,S/N,PIRAPORINHA,TV ES M BOI MIRIM
88,-46740955,-23642468,355030846000286,3550308005228,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,VILA DAS BELEZAS,7076-9,RUA BERNARDINO ESTAZIONE,,VL DAS BELEZAS,TV ES DE ITAPECERICA DA
89,-46740844,-23671833,355030846000012,3550308005222,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JARDIM DAS FLORES,1144-4,AV  INACIO DIAS DA SILVA,S/N,PIRAPORINHA,ESTRADA DO M BOI MIRIM
90,-46739931,-23506050,355030895000039,3550308005110,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,PARQUE SAO DOMINGOS,3078-3,RUA BRIG HENRIQUE FORTINELLI,132,PQ SAO DOMINGUES,PORT 17/94
91,-46737785,-23407009,355030861000025,3550308005242,62,PERUS,1,PERUS,Norte,Norte 1,VILA MALVINA,6123-9,RUA TIBURNO,S/N,VL MALVINA,
92,-46737672,-23582789,355030812000118,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,JARDIM PINHEIROS,7063-7,RUA AUGUSTO FARINA,,JD PINHEIROS,RODOVIA RAPOSO TAVARES K
93,-46737207,-23794764,355030855000092,3550308005300,56,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,RECANTO CAMPO BELO,4188-2,RUA MARIA DA COSTA BEZERRA,,PARELHEIROS,
94,-46736088,-23642406,355030883000049,3550308005177,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,PARQUE FERNANDA,1088-0,ES  DE ITAPECERICA,,PQ FERNANDA,KM 24 ESTRADA DE ITAPECE
95,-46735040,-23652831,355030846000196,3550308005224,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JARDIM SAO LUIZ,4081-9,RUA ARRAIAL DOS COUROS,,JD SAO LUIZ,PONTO FINAL DO ONIBUS J
96,-46735009,-23652005,355030846000260,3550308005228,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JARDIM SAO LUIZ,1085-5,RUA ARRAIAL DOS COUROS,,JD SAO LUIZ,ENTRE GERALDO FRAGA OLIV
97,-46734657,-23441656,355030842000215,3550308005186,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,PARQUE NACOES UNIDAS,3147-0,RUA CIRIACO JIMENEZ,S/N,PQ NACOES UNIDAS,
98,-46734009,-23585410,355030812000047,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,JARDIM PERI PERI,3102-0,RUA PLINIO SALGADO,,BUTANTA,PROXIMO A REGIONAL DO BU
99,-46733952,-23444157,355030842000010,3550308005187,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,COHAB PAULISTANO,7200-1,RUA VALE DO SOL,,PARADA DE TAIPAS,CJ HAB PAULISTANO
100,-46733650,-23448988,355030842000034,3550308005187,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,JARDIM SAO JOAO,1141-0,RUA PASTORIL DE ALMENARA,S/N,PQ PAN AMERICANO,TV ESTRADA DE TAIPAS
101,-46732681,-23657082,355030846000235,3550308005225,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JARDIM IBIRAPUERA,3101-1,RUA SALGUEIRO DO CAMPO,110,JD IBIRAPUERA,PX AO N. 384 E 856
102,-46732209,-23598735,355030894000043,3550308005178,96,VILA SONIA,10,BUTANTA,Oeste,Oeste,JARDIM COLOMBO,4097-5,RUA SALOMAO WAIMBERG,145,JD BONFIGLIOLI,RUA DR SILVIO DANTE BERT
103,-46732191,-23640624,355030883000048,3550308005176,85,VILA ANDRADE,17,CAMPO LIMPO,Sul,Sul 2,JARDIM SANTO ANTONIO,1278-5,RUA MANUEL HOMEM DE ANDRADE,,JARDIM SANTO ANTONIO,
104,-46731992,-23438924,355030842000172,3550308005186,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,JARDIM CITY JARAGUA,1244-0,RUA SAMUEL BOVY,00S/N,JARDIM CITY JARAGUA,
105,-46731043,-23592640,355030894000165,3550308005179,96,VILA SONIA,10,BUTANTA,Oeste,Oeste,VILA SONIA,6034-8,"AV  GAL FRANCISCO MORAZAN		",,VL SONIA,PROXIMO DISTRITO POLICIA
106,-46730351,-23579438,355030812000017,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,VILA GOMES,6085-2,RUA PEREIRA DO LAGO,,VL GOMES,RV RAPOSO TAVARES KM 12
107,-46730005,-23665191,355030846000201,3550308005225,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JARDIM VERGUEIRO,7070-0,RUA ANTONIO VAZ,S/N,JD VERGUEIRO,TV ES GUARAPIRANGA
108,-46729918,-23448666,355030842000161,3550308005187,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,JARDIM PANAMERICANO,4094-0,RUA ANTONIO SEBASTIAO SOBRINHO,480,PQ PAN AMERICANO,ALTURA DO 480 DA R J PER
109,-46728718,-23594908,355030894000084,3550308005179,96,VILA SONIA,10,BUTANTA,Oeste,Oeste,VILA MORSE,1029-4,RUA IBIAPABA,,VL SONIA,RUA MANOEL JACINTO
110,-46727860,-23491006,355030863000017,3550308005310,64,PIRITUBA,2,PIRITUBA,Norte,Norte 1,CHACARA INGLESA,4066-5,RUA PEDRO MARIGLIANI,23,CHAC INGLESA,TV DR JOAO BATISTA B DE
111,-46727242,-23521813,355030888000033,3550308005107,90,VILA LEOPOLDINA,8,LAPA,Oeste,Oeste,VILA LEOPOLDINA,5036-9,RUA ALIANCA LIBERAL,603,VL LEOPOLDINA,RUA GUAIPA
112,-46727025,-23572858,355030812000081,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,VILA INDIANA,4030-4,RUA IQUIRIRIM,496,VL INDIANA,AV CORIFEU DE AZEVEDO MA
113,-46725646,-23429575,355030842000087,3550308005309,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,JARDIM MARILU,7139-0,RUA MAXIMO BARBOSA,S/N,JD MARILU,
114,-46725537,-23435822,355030842000277,3550308005309,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,JARDIM RINCAO,6138-7,RUA DR CARMELO D'AGOSTINHO,S/N,JD RINCAO,ESTRADA DE TAIPAS
115,-46725363,-23528331,355030888000008,3550308005107,90,VILA LEOPOLDINA,8,LAPA,Oeste,Oeste,VILA HAMBURGUESA,4048-7,RUA LAURO MULLER,12,VL HAMBURGUESA,CENTRO ESPORTIVO PELEZAO
116,-46724800,-23495226,355030863000031,3550308005310,64,PIRITUBA,2,PIRITUBA,Norte,Norte 1,JARDIM DA FELICIDADE,7102-1,RUA LAUDELINO VIEIRA DE CAMPOS,146,JD DA FELICIDADE,AV RAIMUNDO P MAGALHAES
117,-46724758,-23477821,355030863000009,3550308005114,64,PIRITUBA,2,PIRITUBA,Norte,Norte 1,JARDIM CIDADE PIRITUBA,4128-9,RUA GONCALVES DE BARROS,S/N,JD PIRITUBA,
118,-46722356,-23769103,355030855000013,3550308005299,56,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,BALNEARIO SAO JOSE,7248-6,RUA VIRAPURU DO SERTAO,,PARELHEIROS,
