ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME_FEIRA,REGISTRO,LOGRADOURO,NUMERO,BAIRRO,REFERENCIA
1,-46803256,-23584352,355030865000078,3550308005240,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,COHAB RAPOSO TAVARES,1193-2,RUA CACHOEIRA DO ARREPENDIMENTO,S/N,JD ARPOADOR,CJ HAB RAPOSO TAVARES
2,-46794016,-23442268,355030803000054,3550308005307,03,ANHANGUERA,1,PERUS,Norte,Norte 1,JARDIM JARAGUA,7203-6,RUA PRESIDENTE FELIX PAIVA,S/N,JD JARAGUA,K 22 5 VIA ANCHIETA
3,-46793683,-23588971,355030865000068,3550308005239,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,JARDIM ARPOADOR,1074-0,RUA ADERBAL STRESSER,,JD ARPOADOR,KM 18 DA RV RAPOSO TAVAR
4,-46793090,-23599800,355030865000088,3550308005239,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,JARDIM JOAO XXIII,3104-6,AV  VATICANO,19,JD JOAO XXIII,S/INFOR
5,-46792297,-23433174,355030803000015,3550308005241,03,ANHANGUERA,1,PERUS,Norte,Norte 1,JARDIM BRITANIA,1218-1,RUA FLORENCIO CARPI,S/N,JD BRITANIA,
6,-46791584,-23662710,355030819000369,3550308005296,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,LUISA TODI,5381-3,RUA LUISA TODI,,JD IRENE,PROX A RUA JOSE DENTES
7,-46791485,-23652744,355030819000175,3550308005296,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM MACEDONIA,4103-3,RUA AGOSTINHO PAIVA,,JD MACEDONIA,JOAO CRUZ E LUIS DE BOUL
8,-46790664,-23672189,355030819000136,3550308005297,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,PARQUE FERNANDA,6171-9,AV  DR SALVADOR ROCCO,,PARQUE FERNANDA,
9,-46790462,-23583698,355030865000159,3550308005240,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,RAPOSO TAVARES,1129-0,RUA GABRIEL DE CARVALHO,,JD BOA VISTA,RODOVIA RAPOSO TAVARES K
10,-46790071,-23686591,355030843000146,3550308005293,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,ESTRADA DA MOENDA VELHA,6093-3,ES  DA MOENDA VELHA,,JD INDEPENDENCIA,PONTO FINAL DO ONIBUS V
11,-46788039,-23662021,355030819000310,3550308005296,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM DAS ROSAS,1115-0,RUA SERRA DOS DOIS IRMAOS,S/N,JD DAS ROSAS,AV RODRIGO SANCHES E JOA
12,-46782964,-23691715,355030843000386,3550308005293,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,PARQUE NOVO SANTO AMARO,4140-8,RUA ALBERTO BORGES SOVERAL,S/N,PQ NOVO STO AMARO,PORT 06/94
13,-46782803,-23641800,355030817000245,3550308005236,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM MARIA SAMPAIO,7085-8,RUA ANTONIO VIEGAS DE ATAIDE,S/N,JD MARIA SAMPAIO,TV RUA MAL JOAO CARLOS B
14,-46781585,-23596426,355030865000022,3550308005240,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,JARDIM SAO JORGE,5088-1,RUA PROF JOAO DE LORENZO,S/N,JD SAO JORGE,PROXIMO CEMITERIO ISRAEL
15,-46779144,-23661763,355030819000027,3550308005231,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,COHAB ADVENTISTA II,1177-0,RUA MODELAR,S/N,CAPAO REDONDO,
16,-46778282,-23645653,355030817000079,3550308005237,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM ROSANA,1118-5,RUA CARLOS NAHAS C/ CARLOS LACERDA,,JD ROSANA,ESTRADA PIRAJUSSARA
17,-46777492,-23696400,355030843000286,3550308005291,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,JARDIM RANIERI,1119-3,RUA MANOEL DA COSTA DANTAS,5786,JD RANIERI,TV ES M BOI MIRIM
18,-46776674,-23674371,355030819000051,3550308005232,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM JANGADEIRO,3100-3,RUA ROSARIO SCAMARTI,,JD JANGADEIRO,TV RUA ROSARIO ESCARNADI
19,-46776546,-23645271,355030817000078,3550308005237,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM ROSANA,3103-8,RUA CARLOS NAHAS,,JD ROSANA,TV AV CARLOS LACERDA
20,-46776343,-23575288,355030867000252,3550308005182,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,AURIFLAMA,7078-5,RUA DR VIRGILIO ALVIN FRANCO,10,JD D ABRIL,RV RAPOSO TAVARES KM 16
21,-46775131,-23675834,355030819000324,3550308005232,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM DO COLEGIO,1146-0,RUA DR HUMBERTO PASCALE,S/N,JD JANGADEIRO,AVENIDA DAS PALMEIRAS
22,-46772418,-23633691,355030817000019,3550308005236,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO LIMPO,5069-5,RUA MARTINHO VAZ DE BARROS,,CAMPO LIMPO,TV ES CAMPO LIMPO
23,-46772312,-23669599,355030819000012,3550308005231,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CAPAO REDONDO,6073-9,AV  ATHOS THOMAZ FERRACIO,,CAPAO REDONDO,TV AV ELIAS MAAS
24,-46772023,-23654904,355030819000246,3550308005230,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM IPE,6101-8,RUA GASTAO RAUL DE FONTON BOSQUET,,JD IPE,GASTAO RAUL FOURTON BOUS
25,-46769845,-23686426,355030843000129,3550308005227,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,JARDIM ANGELA,1082-0,RUA MARCELINO COELHO,S/N,JD ANGELA,S/INF.
26,-46768916,-23588165,355030865000105,3550308005238,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,VILA BORGES,6082-8,RUA ORESTES COLOMBARI,,VL BORGES,AV HEITOR A EIRAS GARCIA
27,-46768505,-23630075,355030817000009,3550308005235,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO LIMPO,1078-2,AV  AMADEU DA SILVA SAMELLO,S/N,CAMPO LIMPO,TV ES CAMPO LIMPO
28,-46767517,-23642551,355030817000037,3550308005237,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM UMUARAMA,7134-0,RUA ODEMIS,,JD UMUARAMA,
29,-46765891,-23596984,355030865000035,3550308005238,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,JARDIM GUARAU,5119-5,RUA JERONIMO FERNANDES,S/N,JD GUARAU,ESTR DO JAGUARE
30,-46764843,-23660263,355030819000319,3550308005231,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CAPAO REDONDO,4051-7,RUA PAULINO VITAL DE MORAES,,CAPAO REDONDO,ET AV ELIAS MAASE R C OR
31,-46764422,-23562588,355030867000039,3550308005184,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,JARDIM ADALGIZA,7215-0,AV  GUSTAVO BERTHIER,S/N,VL DALVA,
32,-46763515,-23685678,355030843000159,3550308005227,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,VILA SANTA LUCIA,6098-4,RUA CARMELO CALI,,VL STA LUCIA,TV ES M BOI MIRIM JD ANG
33,-46762844,-23677695,355030843000195,3550308005226,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,JARDIM IMBE,7111-0,RUA ERASMUS GRASSER,,JD IMBE,TV AV M BOI MIRIM
34,-46762550,-23407342,355030861000095,3550308005243,62,PERUS,1,PERUS,Norte,Norte 1,JARDIM DO RUSSO,1126-6,"RUA ENG NOGUEIRA SOARES	",45,JD DO RUSSO,TV DR SILVIO DE CAMPOS
35,-46762128,-23633003,355030817000011,3550308005235,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM CATANDUVA,5073-3,RUA DR RENATO BUENO NETO,,JD CATANDUVA,
36,-46761996,-23665179,355030819000092,3550308005231,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CDHU JARDIM SAO LUIZ-A,7263-0,RUA ANDRE LENS,00010,JARDIM SAO LUIZ,CDHU JARDIM SAO LUIZ-A
37,-46759830,-23501263,355030840000022,3550308005109,39,JAGUARA,8,LAPA,Oeste,Oeste,VILA PIAUI,3063-5,RUA FLOR CACHOEIRA E S DO TEIXEIRA,48,VL PIAUI,RUA NILVA
38,-46759079,-23628473,355030817000057,3550308005234,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM OLINDA,7241-9,RUA CARDOSO MOREIRA,,JARDIM OLINDA,RUA JOAO FRANCO LEITE
39,-46758441,-23596387,355030894000067,3550308005181,96,VILA SONIA,10,BUTANTA,Oeste,Oeste,VILA REGINA,1153-3,RUA EDWARD CARMILO,S/N,JD CELESTE,
40,-46758028,-23580873,355030867000088,3550308005182,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,JARDIM ANTONIA,7104-8,RUA DR PAULO RIBEIRO COELHO,S/N,JD ANTONIA,R MARIA R BALBINO/OTAVIO
41,-46757811,-23507714,355030840000031,3550308005109,39,JAGUARA,8,LAPA,Oeste,Oeste,JARDIM MARISA,6400-9,RUA JOSE PEREIRA FALCAO,,JARDIM MARISA,
42,-46757198,-23567676,355030867000131,3550308005184,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,VILA DALVA,4089-4,RUA JORGE WORD,49,VL DALVA,AV RIBEIRAO JAGUARE
43,-46757111,-23474333,355030895000116,3550308005111,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,VILA NOVA ESPERANCA,7240-0,RUA CALDAS NOVAS,,VILA NOVA ESPERANCA,
44,-46756491,-23677566,355030843000209,3550308005226,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,VILA REMO,6081-0,RUA ITAPAROQUERA,,VL REMO,TV ES M BOI MIRIM
45,-46756360,-23618433,355030817000135,3550308005234,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM UMARIZAL,6077-1,AV  ANACE,,JD UMARIZAL,TV AV DAS COLINAS
46,-46756180,-23674578,355030846000163,3550308005223,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JARDIM VAZ DE LIMA,5081-4,RUA LUCA DE MARENZIO,,JD VAZ DE LIMA,TV AL COMD ANTUNES DOS S
47,-46756119,-23409486,355030861000019,3550308005243,62,PERUS,1,PERUS,Norte,Norte 1,VILA OPERARIA,6072-0,RUA RAPHAEL DI SANDRO,13,PERUS,PROXIMO A ESTACAO DE PER
48,-46755679,-23662689,355030846000177,3550308005229,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,CORREGO DOS FREITAS,1121-5,RUA MARIA BENEDITA RODRIGUES,,PQ STO ANTONIO,RUA MARIA BENEDITA GONCA
49,-46755359,-23584769,355030867000230,3550308005183,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,CARAMURU,5082-2,"RUA PDE ALARICO ZACARIAS	",,VL MARIA LUIZA,AV. HEITOR A EIRAS GARCI
50,-46755106,-23511322,355030840000017,3550308005109,39,JAGUARA,8,LAPA,Oeste,Oeste,SANTA EDWIGES,1043-0,RUA AGAMENON MAGALHAES,138,STA EDWIGES,RUA ADAO GONCALVES
51,-46754996,-23811243,355030855000214,3550308005300,56,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,JARDIM DOS ALAMOS,3132-1,RUA HENRIQUE ROSCHEL CHRISTI,S/N,JD DOS ALAMOS,
52,-46754972,-23396934,355030861000092,3550308005242,62,PERUS,1,PERUS,Norte,Norte 1,VILA FANTON,1230-0,RUA FELIPE CARDOSO CAMPOS,S/N,VL FANTON,CJ RES DO CDHU
53,-46753516,-23646780,355030846000278,3550308005229,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,VILA PRELL,4086-0,RUA THEREZA MAIA PINTO,S/N,VL PRELL,TV ES DE ITAPECERICA
54,-46752881,-23570473,355030867000122,3550308005183,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,SAO DOMINGOS,1048-0,RUA JOSE JOAQUIM SEABRA,,VL TIRADENTES,ESTRADA DE COTIA
55,-46752485,-23436017,355030842000152,3550308005185,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,VILA AURORA,3158-5,RUA ALEIXOS JAFET,,VILA AURORA,RUA LORENZO LATORRE
56,-46751961,-23597146,355030894000034,3550308005181,96,VILA SONIA,10,BUTANTA,Oeste,Oeste,JARDIM CELESTE,4096-7,RUA EDWARD CARMILLO,,JD CELESTE,CLUBE SOLAR DOS AMIGOS
57,-46751050,-23570623,355030867000020,3550308005183,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,RIO PEQUENO,6058-5,AV  PUJAIS SABATE,S/N,RIO PEQUENO,TV AV RIO PEQUENO
58,-46749909,-23408056,355030861000001,3550308005242,62,PERUS,1,PERUS,Norte,Norte 1,PERUS,3053-8,RUA JOAO BATISTIA FANTON,3,VL FONTON,TV RUA SANTA TEREZINHA
59,-46749753,-23552903,355030841000040,3550308005108,40,JAGUARE,8,LAPA,Oeste,Oeste,LAGEADO,5068-7,AV  ARAICAS,254,JAGUARE,TERMINA N. 45
60,-46749667,-23662941,355030846000317,3550308005224,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,SAO LUIS,7400-4,RUA JOSE RODRIGUES MACIEL,,SAO LUIS,CENTRO EMPRESARIAL SANTO
61,-46749603,-23413071,355030861000057,3550308005243,62,PERUS,1,PERUS,Norte,Norte 1,VILA HELIOPOLIS,7224-9,RUA EMBU DE HELIOPOLIS,,HELIOPOLIS,COMUN HELIOPOLIS
62,-46749487,-23632508,355030817000144,3550308005233,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,PARQUE REGINA,5089-0,RUA FRANCISCO SOARES,,PQ REGINA,NUMA AREA ENTRE A RUAS C
63,-46749487,-23550536,355030841000090,3550308005108,40,JAGUARE,8,LAPA,Oeste,Oeste,JAGUARE,3055-4,RUA ROLANDIA,S/N,JAGUARE,TV AV CORIFEU DE A MARQU
64,-46749446,-23633241,355030817000145,3550308005233,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,PARQUE ARARIBA,1070-7,RUA FRANCISCO SOARES,,PQ REGINA,ENTRE FRANCISCO SOARES
65,-46749311,-23673883,355030846000029,3550308005223,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JARDIM CRIS,1094-4,RUA ALBINO CORREA DE CAMPOS,,VL REMO,ESTRADA DO M BOI MIRIM 1
66,-46748783,-23498443,355030895000030,3550308005110,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,VILA MANGALOT,5055-5,RUA SANDOVAL FERREIRA CABRAL,S/N,VL JAGUARA,PORT 034/94
67,-46748739,-23474160,355030863000210,3550308005113,64,PIRITUBA,2,PIRITUBA,Norte,Norte 1,JARDIM SANTA MONICA,5181-0,AV  SANTA MONICA,,JARDIM SANTA MONICA,AV DR FELIPE PINEL
68,-46748407,-23453314,355030842000023,3550308005185,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,CIDADE D ABRIL,7109-9,RUA MAURO ARAUJO RIBEIRO,46,CID D ABRIL,PROXIMO VIADUTO JARAGUA
69,-46747719,-23674806,355030846000026,3550308005221,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,PARQUE FIGUEIRA GRANDE,5084-9,RUA BELCHIOR FELIX,,PQ FIG GRANDE,PORT 029/96
70,-46747206,-23505414,355030895000082,3550308005110,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,PIRITUBA,4186-6,AV  ELISIO CORDEIRO DE SIQUEIRA,,JARIDM,JARDIM SANTO ELIAS
71,-46747119,-23562995,355030867000178,3550308005184,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,VILA BUTANTA,7082-3,RUA JOSE ALVES DA CUNHA LIMA,,RIO PEQUENO,TV AV CORIFEU DE A MARQU
72,-46746981,-23400070,355030861000051,3550308005242,62,PERUS,1,PERUS,Norte,Norte 1,VILA CAIUBA,5185-3,RUA IRITUIA,,VILA CAIUBA,CDHU
73,-46746140,-23541965,355030841000049,3550308005108,40,JAGUARE,8,LAPA,Oeste,Oeste,CENTRO INDUSTRIAL DO JAGUARE,1104-5,RUA BARCELONA,99,JAGUARE,AV PRESIDENTE ALTINO 655
74,-46746080,-23509975,355030840000001,3550308005109,39,JAGUARA,8,LAPA,Oeste,Oeste,VILA JAGUARA,1056-1,RUA PEDRO HENRIQUE DE O BRAGANCA,,VL JAGUARA,PC ROCHA FALCAO 21
75,-46746025,-23478786,355030863000088,3550308005113,64,PIRITUBA,2,PIRITUBA,Norte,Norte 1,SANTA MONICA,1390-0,RUA AMILCAR DE MAGALHAES,,PIRITUBA,
76,-46746003,-23448362,355030842000025,3550308005185,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,JARDIM IPANEMA,4124-6,RUA VASCO BALBOA,S/N,JD IPANEMA,TV RUA MAURO DE ARAUJO R
77,-46745608,-23484822,355030895000065,3550308005111,64,PIRITUBA,2,PIRITUBA,Norte,Norte 1,JARDIM MONTE ALEGRE,7064-5,RUA JURUBIM,10,PIRITUBA,AVENIDA MUTINGA
78,-46744505,-23499430,355030895000004,3550308005110,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,PRACA VISTA ALEGRE,7065-3,RUA JOSE ATALIBA ORTIZ,32,VL MANGALOT,IGREJA DO MANGALOT
79,-46744255,-23512235,355030840000003,3550308005109,39,JAGUARA,8,LAPA,Oeste,Oeste,VILA JAGUARA,4036-3,RUA CACHOEIRA DO SUL,26,VL JAGUARA,FABRICA DANONE
80,-46743327,-23576108,355030867000189,3550308005183,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,JARDIM BONFIGLIOLI,3039-2,AV  OCTACILIO TOMANIK,,RIO PEQUENO,AV DR HEITOR EIRAS GARCI
81,-46742590,-23614128,355030894000190,3550308005178,96,VILA SONIA,10,BUTANTA,Oeste,Oeste,PORTAL DO MORUMBI,6104-2,RUA ISAAC ALBENIZ C/ FRANCO ALFANO,,MORUMBI,AV JUARES TAVORA
82,-46742587,-23690664,355030846000157,3550308005221,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,ALTO DA RIVIEIRA,3106-2,"RUA MONS JOAO PEDRO FUSENIG	",,JD STA GERTRUDES,REPREZA DO GUARAPIRANGA
83,-46741894,-23453615,355030842000235,3550308005185,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,JARAGUA,6065-8,RUA LAVRINHA,18,VL JARAGUA,PROXIMO A ESTACAO DO JAR
