ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME_FEIRA,REGISTRO,LOGRADOURO,NUMERO,BAIRRO,REFERENCIA
513,-46539508,-23553079,355030820000017,3550308005078,26,CARRAO,26,ARICANDUVA,Leste,Leste 1,VILA SANTA IZABEL,5034-2,RUA PIRAMB?IA,463,VILA SANTA IZABEL,TRAV. RUA XIRIRICA
514,-46527878,-23541756,355030891000075,3550308005076,21,VILA MATILDE,21,PENHA,Leste,Leste 1,PRINCESA IZABEL,5093-8,RUA CAPIT+O JOS+  LEITE,723,VILA MATILDE,PRA?A SEBASTI+O ANDRADE
515,-46529534,-23573787,355030804000085,3550308005153,26,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,CH-CARA BELENZINHO,5110-1,PRA?A AGENOR CARDIM,,CHACARA BELENZINHO,CONFINADA V. FORMOSA
516,-46545660,-23537165,355030891000130,3550308005076,21,VILA MATILDE,21,PENHA,Leste,Leste 1,GUAIA+NA,6030-5,RUA EDGARD DE SOUZA,82,VILA ARICANDUVA,PORT 10/94
517,-46515839,-23586343,355030804000097,3550308005151,26,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,JARDIM IVA,6108-5,RUA ROMILDO FINOZZI,21,JARDIM IVA,EST BARREIRA GRANDE ALTURA 31
518,-46522370,-23536710,355030891000055,3550308005075,21,VILA MATILDE,21,PENHA,Leste,Leste 1,JOS+ MASCARENHAS,7033-5,RUA JOS+ MASCARENHAS,1515,MORUMBI,RUA DONA MATILDE
519,-46539981,-23534557,355030891000123,3550308005076,21,VILA MATILDE,21,PENHA,Leste,Leste 1,VILA ARICANDUVA,7039-4,RUA MONSENHOR FRANCISCO DE PAULA278,,VILA CARR+O,TV RUA 19 DE JANEIRO
520,-46536139,-23576988,355030885000058,3550308005079,26,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,PRA?A MANOEL ARIZA,7043-2,AV. ANTONIO MANOGRASSO,234,VILA FORMOSA,TV DA AV JO+O XXIII
521,-46527504,-23580181,355030885000116,3550308005079,26,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,VILA CRUZEIRO,7088-2,RUA MARIA FRANCISCA DO NASCIMENTO,12,VILA CRUZEIRO,TV EST. BARREIRA GRANDE
522,-46508195,-23579688,355030804000089,3550308005151,26,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,VILA NOVA YORK,7189-7,PRA?A EUL-LIO DE CARVALHO,,VILA NOVA YORK,
523,-46705062,-23610668,355030854000038,3550308005104,10,MORUMBI,10,BUTANTA,Oeste,Oeste,REAL PARQUE,1089-8,RUA BAR+O DE MONTE MOR,166,PAINEIRAS DO MORUMBI,RUA BAR+O DE C. GERAIS
524,-46719606,-23597666,355030854000017,3550308005104,10,MORUMBI,10,BUTANTA,Oeste,Oeste,CAXINGUI,3038-4,P-TIO ESTAC. DO EST-DIO DO MORUMBI (CONFINAD,,EST-DIO DO MORUMBI,AO LADO PC ROBERTO G. PEDROSA
525,-46768537,-23592420,355030865000106,3550308005238,10,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,JARDIM ROSA MARIA,3117-8,RUA PASCOAL ZULINO,360,JARDIM EDUCAND-RIO,RV RAPOSO TAVARES KM 15
526,-46705653,-23579219,355030854000027,3550308005104,10,MORUMBI,10,BUTANTA,Oeste,Oeste,BIBI,4012-6,AV. EST-DIO MORUMBI,520,ITAIM BIBI,PC ROBERTO GOMES PEDROSA
527,-46727113,-23572946,355030812000081,3550308005105,10,BUTANTA,10,BUTANTA,Oeste,Oeste,VILA INDIANA,4030-4,RUA IQUIRIRIM,496,VILA INDIANA,AV CORIFEU DE AZEVEDO MARQUES
528,-46757332,-23567910,355030867000010,3550308005184,10,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,VILA DALVA,4089-4,RUA JORGE WARD,49,VILA DALVA,AV RIBEIR+O JAGUARE
529,-46732209,-23598735,355030894000043,3550308005178,10,VILA SONIA,10,BUTANTA,Oeste,Oeste,JARDIM COLOMBO,4097-5,RUA SALOM+O WAIMBERG,145,JARDIM BONFIGLIOLI,RUA DR. SILVIO DANTE BERTACHI
530,-46739285,-23598575,355030894000106,3550308005179,10,VILA SONIA,10,BUTANTA,Oeste,Oeste,M-RIO MOURA ANDRADE,7071-8,AV CLOAUDIO FRANCHI,49,BUTANT+,AV. PROF. FRANCISCO MORATO
531,-46775974,-23575508,355030867000252,3550308005182,10,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,AURIFLAMA,7078-5,RUA DOUTOR  VIRG-LIO ALVIN FRANCO,10,JARDIM D?ABRIL,RV. RAPOSO TAVARES KM 16
532,-46727123,-23571019,355030812000081,3550308005105,10,BUTANTA,10,BUTANTA,Oeste,Oeste,VILA INDIANA,7165-0,PRA?A SANTO EPIF-NIO,,VILA INDIANA,
533,-46748738,-23630982,355030817000143,3550308005233,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,PARQUE ARARIBA,1070-7,RUA CONSTANTINO OLIVEIRA LEDO,,PARQUE REGINA,ENTRE FRANCISCO SOARES
534,-46683753,-23747675,355030830000052,3550308005283,19,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,PARQUE GRAJA+,1071-5,RUA JOS+ BEZERRA FILHO,49,PARQUE GRAJA+,ESTR. DO BOROR+ ? PANIF GRAJA+
535,-46703056,-23726646,355030823000048,3550308005286,19,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,JARDIM IPORANGA,1083-9,PRA?A MIGUEL MURIANO,15,JARDIM PRESIDENTE,ANTONIO PEREIRA TAQUES
536,-46709498,-23690426,355030879000041,3550308005220,19,SOCORRO,19,CAPELA DO SOCORRO,Sul,Sul 2,JARDIM SUZANO,1086-3,AV. IN-CIO CUNHA LEME,357,JARDIM IPANEMA,AV ROBERT KENEDY
537,-46719125,-23854878,355030855000240,3550308005302,20,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,PARELHEIROS,1092-8,PRA?A PEDRO ROCHA,,PARELHEIROS,ESTRADA DE PARELHEIROS
538,-46706437,-23740051,355030823000189,3550308005286,19,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,BANDEIRANTES,4090-8,RUA CARLOS OBERHUBER,,VILA S+O JOSE,PARAVENTI E ROSALINA ARISTID
539,-46705210,-23681679,355030879000015,3550308005220,19,SOCORRO,19,CAPELA DO SOCORRO,Sul,Sul 2,VILA NOVA FRIBURGO,4095-9,AV. DANTON JOBIM,131,VILA FRIBURGO,AUT?DROMO DE INTERLAGOS
540,-46681635,-23754788,355030830000020,3550308005280,19,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,RIO PRETO,4111-4,RUA S+O JOS+ DO RIO PRETO,495,GRAJA+,CONJ RESIDENCIAL FARIA LIMA
541,-46700591,-23707100,355030823000063,3550308005219,19,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CIDADE DUTRA,5070-9,RUA S+O GUILHERME,7377,CIDADE DUTRA,ENTRE AV INTERLAGOS E R ARIA
542,-46688866,-23709475,355030823000030,3550308005217,19,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,JARDIM PRIMAVERA,7049-1,AV. MATIAS BECK,100,JARDIM PRIMAVERA,JARDIM PRIMAVERA
543,-46708184,-23741013,355030823000190,3550308005287,19,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,S+O JOS+,7075-0,AV. CARLOS OBHERUBER,325,SANTO AMARO,ESTRADA DE PARALHEIROS
544,-46705194,-23683875,355030879000015,3550308005220,19,SOCORRO,19,CAPELA DO SOCORRO,Sul,Sul 2,VILA FRIBURGO,7077-7,AV. BERNA,228,VILA FRIBURGO,N. 1234 ES DO RIO BONITO
545,-46684522,-23755413,355030830000003,3550308005280,19,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,CJ. RES.BRIG. FARIA LIMA,7081-5,RUA S+O CAETANO DO SUL,518,GRAJA+,CONS RES FARIA LIMA
546,-46467074,-23542614,355030837000186,3550308005202,27,ITAQUERA,27,ITAQUERA,Leste,Leste 2,COHAB TIRADENTES I,1184-3,RUA TR-S-F,,ITAQUERA,CONFLU-NCIA R BARRO BRANCO
547,-46406330,-23565960,355030825000001,3550308005269,31,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CONJ. RESID. DE GUAIANAZES,6089-5,AV. DR.  GUILHERME DE ABREU SODR+,1414,COHAB GUAIANAZES,EST DO IGUATEMI
548,-46660206,-23503425,355030821000038,3550308005030,04,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,CHORA MENINO,1019-7,AV. BARUEL,661,BARUEL,AVENIDA CASA VERDE
549,-46654091,-23499921,355030821000003,3550308005062,04,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,PARQUE PERUCHE,1020-0,RUA CARLOS BELMIRO CORR-A,461,PARQUE PERUCHE,-GUAS VIRTUOSAS E STA EUD?XIA
550,-46678181,-23486457,355030850000034,3550308005061,04,LIMAO,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,CANA+,1021-9,AV. EULINA,318,JARDIM PRIMAVERA,AVENIDA DEP EM-LIO CARLOS
551,-46660614,-23471082,355030813000036,3550308005124,04,CACHOEIRINHA,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,VILA NOVA CACHOEIRINHA,1027-8,RUA DOS PATIS,335,VILA BELA VISTA,BENEDITO GUEDES OLIVEIRA 226
552,-46647298,-23494272,355030821000050,3550308005062,04,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,JARDIM CARDAMONE,3033-3,RUA WALDOMIRO SILVEIRA,28,IMIRIM,TV AV IMIRIM
553,-46663371,-23505357,355030821000094,3550308005030,04,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,JARDIM DAS LARANJEIRAS,3071-6,RUA FREDERICO PENTEADO J+NIOR,11,CASA VERDE,AV CASA VERDE ALTURA 2816
554,-46673670,-23485350,355030850000038,3550308005060,04,LIMAO,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,SANTA MARIA,3077-5,RUA TOMAZ ANTONIO VILANE,417,VILA SANTA MARIA,TV AV DEP EM-LIO CARLOS
555,-46656878,-23512956,355030821000114,3550308005030,04,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,MARAMBAIA,3081-3,RUA MARAMBAIA,,CASA VERDE,PONTE DA CASA VERDE
556,-46668175,-23459022,355030813000169,3550308005126,04,CACHOEIRINHA,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,JARDIM SANTA CRUZ,3118-6,RUA MONTE S+O MARTINHO,349,JARDIM SANTA CRUZ,TV AV GENERAL PENHA BRASIL
557,-46656181,-23501458,355030821000021,3550308005030,04,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,VILA ESPANHOLA,4018-5,RUA GALIL+IA,430,PARQUE PERUCHE,TV DA JOSE  RANGEL CAMARGO
558,-46684165,-23501419,355030850000068,3550308005061,04,LIMAO,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,VILA CAROLINA,4019-3,RUA ANTONIO MUNHOZ BONILHA,235,VILA CAROLINA,TV AV DEPUTADO EM-LIO CARLOS
559,-46653875,-23462254,355030813000059,3550308005127,04,CACHOEIRINHA,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,VILA CONTINENTAL,4034-7,AV. MARIANA CALIGIURI RONCHETTI,237,VILA CONTINENTAL,TV AV MARIA ANTONIA MARTINS
560,-46668135,-23503638,355030850000062,3550308005060,04,LIMAO,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,BAIRRO DO LIM+O,5027-0,RUA MADALENA DE MADUREIRA,54,CASA VERDE,PR?XIMO PRACA CANA+
561,-46664847,-23464931,355030813000002,3550308005125,04,CACHOEIRINHA,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,ROSA DOS VENTOS,5037-7,RUA AUGUSTO GIL,207,VL NOVA CACHOEIRINHA,PT  FINAL ?NIBUS V DION-ZIA
562,-46655948,-23493487,355030821000010,3550308005062,04,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,GALO DE OURO,5103-9,RUA DOUTOR IGN-CIO PROEN?A GOUVEIA,1031,PARQUE PERUCHE,TV RUA ARMANDO COELHO
563,-46657591,-23505413,355030821000065,3550308005030,04,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,CASA VERDE,6015-1,RUA CAETANO DESCO,590,CASA VERDE,MORRO DO S
564,-46666190,-23489301,355030850000125,3550308005060,04,LIMAO,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,CARMEM,6024-0,RUA C+SAR PENA RAMOS,592,CASA VERDE,ENTRE BALDOVENETI E CAPANEO
565,-46658671,-23483279,355030821000105,3550308005062,04,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,MANDIBA,6054-2,RUA LASAR SEGAL,409,FREGUESIA DO ?,TV AV IMIRIM
566,-46673874,-23492449,355030850000119,3550308005060,04,LIMAO,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,DEPUTADO EM-LIO CARLOS,6055-0,AV. MONTE CELESTE,198,LIM+O,TV AV GASPAR DIAS DA CUNHA
567,-46664990,-23474441,355030813000074,3550308005124,04,CACHOEIRINHA,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,CACHOEIRINHA,7034-3,RUA CANAVIAL,45,VL NOVA CACHOEIRINHA,TV AV IMIRIM
568,-46676007,-23499154,355030850000053,3550308005061,04,LIMAO,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,VILA SIQUEIRA,7110-2,RUA SALVADOR LIGABUE,431,VILA SIQUEIRA,JOSE KILEBBER E AFONSO SALZA
569,-46473532,-23492119,355030828000078,3550308005192,22,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,ERMELINO MATARAZZO,1038-3,RUA ANTONIO PEREIRA SIMiES,6996,ERMELINO MATARAZZO,AVENIDA PARANAGU-
570,-46499358,-23513601,355030864000039,3550308005141,22,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,VILA RIO BRANCO,1062-6,RUA FRANCISCO SOUZA QUEIR?Z,92,VILA RIO BRANCO,AVENIDA LAGOA MIRIM
571,-46508590,-23514477,355030864000107,3550308005142,22,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,SANTOS DUMONT,1073-1,AV CACHOEIRA SANTA CRUZ,751,JARDIM POPULAR,ENT GIRASSOL E MANOEL OLIVEI
572,-46488844,-23484780,355030828000129,3550308005139,22,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,BRAS-LIA,3092-9,RUA BELIS-RIO BENITES,115,JARDIM VERONIA,
573,-46489436,-23503281,355030828000061,3550308005140,22,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,PONTE RAZA,4042-8,RUA BOAVENTURA R. DA SILVA,440,PONTE RAZA,CART?RIO EMRELINO MATARAZZO
574,-46480716,-23520921,355030864000101,3550308005143,22,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,JARDIM UNI+O,4088-6,RUA CRISTAL-NDIA DO PIAU-,223,VILA UNIAO,PONTO FINAL VILA UNI+O
575,-46472514,-23494869,355030828000080,3550308005192,22,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,COMENDADOR ERMELINO MATARAZZO,5043-1,RUA VIT?RIA SIMIONATO,580,ERMELIBNO MATARAZZO,AV AVENIDA PARANAGU-
576,-46508246,-23516006,355030864000106,3550308005142,22,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,JARDIM POPULAR,5054-7,RUA COPO DE LEITE,98,JARDIM POPULAR,COM RUA P DE ULHOA CINTRA
577,-46493636,-23519962,355030864000017,3550308005142,22,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,AZEVEDO,5085-7,RUA GENERAL  FERREIRA DE AZEVEDO,110,JARDIM LISBOA,TV ES VELHA MOGI DAS CRUZES
