ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME_FEIRA,REGISTRO,LOGRADOURO,NUMERO,BAIRRO,REFERENCIA
31,-46747555,-23668407,355030846000076,3550308005223,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JARDIM GUARUJA,11169,RUA FELIPE DE SANTIAGO,,JD GUARUJA
32,-46777492,-23696400,355030843000286,3550308005291,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,JARDIM RANIERI,11193,RUA MANOEL DA COSTA DANTAS,,JD RANIERI
33,-46755679,-23662689,355030846000177,3550308005229,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,CORREGO DOS FREITAS,11215,RUA MARIA BENEDITA RODRIGUES,,PQ STO ANTONIO
34,-46740844,-23671833,355030846000012,3550308005222,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JARDIM DAS FLORES,11444,AV INACIO DIAS DA SILVA,,PIRAPORINHA
35,-46741066,-23672172,355030846000001,3550308005222,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,PIRAPORINHA,30872,RUA ESTEVAM FERNANDES,,PIRAPORINHA
36,-46732681,-23657082,355030846000235,3550308005225,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JARDIM IBIRAPUERA,31011,RUA SALGUEIRO DO CAMPO,,JD IBIRAPUERA
37,-46742587,-23690664,355030846000157,3550308005221,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,ALTO DA RIVIEIRA,31062,RUA MONS JOAO PEDRO FUSENIG,,JD STA GERTRUDES
38,-46735040,-23652831,355030846000196,3550308005224,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JARDIM SAO LUIZ,40819,RUA ARRAIAL DOS COUROS,,JD SAO LUIZ
39,-46782964,-23691715,355030843000386,3550308005293,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,PARQUE NOVO SANTO AMARO,41408,RUA ALBERTO BORGES SOVERAL,,PQ NOVO STO AMARO
40,-46756180,-23674578,355030846000163,3550308005223,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JARDIM VAZ DE LIMA,50814,RUA LUCA DE MARENZIO,,JD VAZ DE LIMA
41,-46747719,-23674806,355030846000026,3550308005221,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,PARQUE FIGUEIRA GRANDE,50849,RUA BELCHIOR FELIX,,PQ FIG GRANDE
42,-46756491,-23677566,355030843000209,3550308005226,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,VILA REMO,60810,RUA ITAPAROQUERA,,VL REMO
43,-46790071,-23686591,355030843000146,3550308005293,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,ESTRADA DA MOENDA VELHA,60933,ES DA MOENDA VELHA,,JD INDEPENDENCIA
44,-46763515,-23685678,355030843000159,3550308005227,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,VILA SANTA LUCIA,60984,RUA CARMELO CALI,,VL STA LUCIA
45,-46730005,-23665191,355030846000201,3550308005225,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JARDIM VERGUEIRO,70700,RUA ANTONIO VAZ,,JD VERGUEIRO
46,-46740955,-23642468,355030846000286,3550308005228,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,VILA DAS BELEZAS,70769,RUA BERNARDINO ESTAZIONE,,VL DAS BELEZAS
47,-46762844,-23677695,355030843000195,3550308005226,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,JARDIM IMBE,71110,RUA ERASMUS GRASSER,,JD IMBE
48,-46749667,-23662941,355030846000317,3550308005224,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,SAO LUIS,74004,RUA JOSE RODRIGUES MACIEL,,SAO LUIS
49,-46720964,-23856225,355030855000241,3550308005302,56,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,PARELHEIROS,10928,PC PEDRO ROCHA,,PARELHEIROS
50,-46656643,-23877195,355030855000279,3550308005302,56,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,VILA VARGEM GRANDE II,12467,RUA BEIJA FLOR,,VILA VARGEM GRANDE
51,-46709899,-23782579,355030855000163,3550308005299,56,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,JARDIM IPORA,12629,RUA FORTE DO GUARA,,PARELHEIROS
52,-46754996,-23811243,355030855000214,3550308005300,56,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,JARDIM DOS ALAMOS,31321,RUA HENRIQUE ROSCHEL CHRISTI,,JD DOS ALAMOS
53,-46737207,-23794764,355030855000092,3550308005300,56,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,RECANTO CAMPO BELO,41882,RUA MARIA DA COSTA BEZERRA,,PARELHEIROS
54,-46714667,-23769676,355030855000017,3550308005299,56,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,BARRO BRANCO,51110,RUA MARIO WILCHES,,JD MARIA BORBA
55,-46708529,-23857681,355030855000080,3550308005302,56,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,VILA VARGEM GRANDE I,72338,RUA IPE ROXO,,VILA VARGEM GRANDE
56,-46722356,-23769103,355030855000013,3550308005299,56,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,BALNEARIO SAO JOSE,72486,RUA VIRAPURU DO SERTAO,,PARELHEIROS
57,-46728718,-23594908,355030894000084,3550308005179,96,VILA SONIA,10,BUTANTA,Oeste,Oeste,VILA MORSE,10294,RUA IBIAPABA,,VL SONIA
58,-46752881,-23570473,355030867000122,3550308005183,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,SAO DOMINGOS,10480,RUA JOSE JOAQUIM SEABRA,,VL TIRADENTES
59,-46793683,-23588971,355030865000068,3550308005239,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,JARDIM ARPOADOR,10740,RUA ADERBAL STRESSER,,JD ARPOADOR
60,-46705164,-23610497,355030854000038,3550308005104,55,MORUMBI,10,BUTANTA,Oeste,Oeste,REAL PARQUE,10898,RUA BARAO DE MONTE MOR,,PAINEIRAS DO MORUMBI
61,-46580632,-23570681,355030801000050,3550308005039,01,AGUA RASA,25,MOOCA,Leste,Leste 1,CONJ RESIDENCIAL DO BUTANTA,11142,RUA LUIS ANTONIO MARTINS,,BUTANTA
62,-46790462,-23583698,355030865000159,3550308005240,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,RAPOSO TAVARES,11290,RUA GABRIEL DE CARVALHO,,JD BOA VISTA
63,-46758441,-23596387,355030894000067,3550308005181,96,VILA SONIA,10,BUTANTA,Oeste,Oeste,VILA REGINA,11533,RUA EDWARD CARMILO,,JD CELESTE
